,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2335,BLOQUEIO DE ARTICULAÇÃO TÊMPORO-MANDIBULAR,HCO,HSO,REF,,OUTROS PROCEDIMENTOS INVASIVOS,,,,,,,
2336,BLOQUEIO DE GÂNGLIO ESTRELADO COM ANESTÉSICO LOCAL,HCO,HSO,REF,,OUTROS PROCEDIMENTOS INVASIVOS,,,,,,,
2337,,,,,ESTÍMULOS NEUROVASCULARES,,,,,,,,
2338,,,,,BLOQUEIOS ANESTÉSICOS DE NERVOS E,,,,,,,,
2339,BLOQUEIO DE GÂNGLIO ESTRELADO COM NEUROLÍTICO,HCO,HSO,REF,,OUTROS PROCEDIMENTOS INVASIVOS,,,,,,,
2340,,RN,,,,,,,,,,,
2341,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2342,,(alteração),,,,,,,,,,,
2343,,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2344,ESTUDO DA VARIABILIDADE DA FREQUÊNCIA CARDÍACA,AMB,HCO,HSO,REF,,ECG - TE,,,,,,
2345,,,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,
2346,,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2347,TESTE ERGOMÉTRICO (INCLUI ECG BASAL CONVENCIONAL) - COM DIRETRIZ DE UTILIZAÇÃO,AMB,HCO,HSO,REF,68,ECG - TE,,,,,,
2348,,AMB,HCO,HSO,REF,ECG - TE,,,,,,,
2349,COM OU SEM ELETROCARDIOGRAMA,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2350,,RN,,,,,,,,,,,
2351,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2352,,(alteração),,,,,,,,,,,
2353,"ELETROENCEFALOGRAMA DE ROTINA, VIGÍLIA OU SONO, HIPERVENTILAÇÃO, FOTOESTIMULAÇÃO,",,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2354,,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2355,ANALÓGICO OU DIGITAL (EEG/R),,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2356,ELETROGLOTOGRAFIA,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2357,,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2358,ELETRONEUROMIOGRAFIA DE QUALQUER SEGMENTO COM OU SEM REGISTRO DE MOVIMENTO,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2359,,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2360,INVOLUNTÁRIO,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2361,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2362,ELETRONEUROMIOGRAFIA GENITOPERINEAL,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2363,,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2364,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2365,ELETRO-OCULOGRAFIA,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2366,,RN,,,,,,,,,,,
2367,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2368,,(alteração),,,,,,,,,,,
2369,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2370,POTENCIAL EVOCADO AUDITIVO DE ESTADO ESTÁVEL - PEAEE (STEADY STATE),,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2371,,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2372,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2373,POTENCIAL EVOCADO AUDITIVO DE MÉDIA LATÊNCIA (PEA-ML),AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2374,POTENCIAL EVOCADO GÊNITO-CORTICAL (PEGC),,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2375,POTENCIAL EVOCADO MOTOR - PEM,AMB,HCO,HSO,REF,SISTEMA NERVOSO,,,,,,,
2376,,RN,,,,,,,,,,,
2377,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2378,,(alteração),,,,,,,,,,,
2379,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2380,PROVA DE FUNÇÃO PULMONAR COMPLETA (OU ESPIROMETRIA),AMB,HCO,HSO,REF,FUNÇÃO RESPIRATÓRIA,,,,,,,
2381,,,,,,,FUNCIONAIS,TERAPÊUTICOS,,,,,
2382,,,,,,,ELETROFISIOLÓGICOS / MECÂNICOS E,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2383,RESISTÊNCIA DAS VIAS AÉREAS POR OSCILOMETRIA,AMB,HCO,HSO,REF,FUNÇÃO RESPIRATÓRIA,,,,,,,
2384,RESISTÊNCIA DAS VIAS AÉREAS POR PLETISMOGRAFIA,AMB,HCO,HSO,REF,FUNÇÃO RESPIRATÓRIA,,,,,,,
2385,,,,,,,FUNCIONAIS,,,,,,
2386,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2387,AVALIAÇÃO ENDOSCÓPICA DA DEGLUTIÇÃO (FEES),AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2388,AMNIOSCOPIA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2389,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2390,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2391,ARITENOIDECTOMIA MICROCIRÚRGICA ENDOSCÓPICA,,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2392,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2393,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2394,BIÓPSIAS POR LAPAROSCOPIA,,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2395,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2396,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2397,BRONCOSCOPIA COM BIÓPSIA TRANSBRÔNQUICA COM ACOMPANHAMENTO RADIOSCÓPICO,,HCO,HSO,REF,PAC,,ENDOSCÓPICOS,,,,,
2398,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2399,"BRONCOSCOPIA COM OU SEM BIÓPSIA, ASPIRADO, ESCOVADO, LAVADO BRONCOALVEOLAR, PUNÇÃO,",,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2400,,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2401,CATETER PROTEGIDO E CURETA,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2402,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2403,CECOSTOMIA,,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2404,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2405,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2406,CISTOSCOPIA E/OU URETROSCOPIA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2407,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2408,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2409,COLAGEM DE FÍSTULA POR VIA ENDOSCÓPICA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2410,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2411,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2412,COLANGIOPANCREATOGRAFIA RETRÓGRADA ENDOSCÓPICA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2413,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2414,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2415,COLOCAÇÃO DE CÂNULA SOB ORIENTAÇÃO ENDOSCÓPICA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2416,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2417,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2418,COLOCAÇÃO DE CATETER PARA BRAQUITERAPIA ENDOBRÔNQUICA,,HCO,HSO,REF,PAC,,ENDOSCÓPICOS,,,,,
2419,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2420,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2421,COLOCAÇÃO DE PRÓTESE COLEDOCIANA POR VIA ENDOSCÓPICA,,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2422,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2423,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2424,COLOCAÇÃO DE PRÓTESE TRAQUEAL OU BRÔNQUICA,,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2425,,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2426,COLONOSCOPIA COM BIÓPSIA E/OU CITOLOGIA COM OU SEM DILATAÇÃO SEGMENTAR OU,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2427,,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2428,ESTENOSTOMIA,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,
2429,,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2430,DESCOMPRESSÃO COLÔNICA POR COLONOSCOPIA,AMB,HCO,HSO,REF,,,ENDOSCÓPICOS,,,,,
2431,,RN,,,,,,,,,,,
2432,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2433,,(alteração),,,,,,,,,,,
2434,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,,
2435,DESOBSTRUÇÃO BRÔNQUICA COM LASER OU ELETROCAUTÉRIO,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,,
2436,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,,,
2437,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,,
2438,DESOBSTRUÇÃO BRÔNQUICA POR BRONCOASPIRAÇÃO,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,,
2439,DILATAÇÃO DE ESTENOSE BRÔNQUICA,,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2440,,,,,,INTERVENCIONISTA,,,,,,,
2441,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2442,"DILATAÇÃO INSTRUMENTAL DO ESÔFAGO, ESTÔMAGO OU DUODENO",AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2443,,RN,,,,,,,,,,,
2444,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2445,,(alteração),,,,,,,,,,,
2446,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2447,HEMOSTASIAS DE CÓLON,,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2448,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,,
2449,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2450,HISTEROSCOPIA DIAGNÓSTICA COM OU SEM BIÓPSIA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2451,INTRODUÇÃO DE PRÓTESE NO ESÔFAGO,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2452,,,,,,INTERVENCIONISTA,,,,,,,
2453,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2454,JEJUNOSTOMIA ENDOSCÓPICA,,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2455,,RN,,,,,,,,,,,
2456,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2457,,(alteração),,,,,,,,,,,
2458,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2459,RETIRADA DE TUMOR OU PAPILOMA OU POLIPO POR BRONCOSCOPIA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2460,,,,,,INTERVENCIONISTA,,TERAPÊUTICOS,,,,,
2461,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2462,RETIRADA ENDOSCÓPICA DE CORPO ESTRANHO QUALQUER LOCALIZAÇÃO,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2463,RETOSSIGMOIDOSCOPIA RÍGIDA OU FLEXÍVEL COM OU SEM BIÓPSIA E/OU CITOLOGIA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2464,,,,,,INTERVENCIONISTA,,,,,,,
2465,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2466,RETOSSIGMOIDOSCOPIA RÍGIDA OU FLEXÍVEL COM OU SEM POLIPECTOMIA E/OU MUCOSECTOMIA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2467,TAMPONAMENTO DE VARIZES DO ESÔFAGO E ESTÔMAGO,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2468,,,,,,INTERVENCIONISTA,,,,,,,
2469,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2470,TESTE DA UREASE PARA HELICOBACTER PYLORI (TESTE DE HEALD),AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2471,TRATAMENTO ENDOSCÓPICO DE HEMOPTISE,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,,
2472,,,,,INTERVENCIONISTA,,,,,,,,
2473,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,,
2474,URETEROSCOPIA FLEXÍVEL OU RÍGIDO,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,,
2475,URETROTOMIA ENDOSCÓPICA,,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2476,,,,,,INTERVENCIONISTA,,,,,,,
2477,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2478,VÍDEO-ENDOSCOPIA DO ESFÍNCTER VELO-PALATINO COM ÓTICA FLEXÍVEL OU RÍGIDA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2479,VÍDEO-ENDOSCOPIA NASO-SINUSAL COM ÓTICA FLEXÍVEL OU RÍGIDA,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2480,,,,,,INTERVENCIONISTA,,,,,,,
2481,,,,,,ENDOSCOPIA DIAGNÓSTICA OU,,,,,,,
2482,VÍDEO-FARINGO-LARINGOSCOPIA COM ENDOSCÓPIO FLEXÍVEL OU RÍGIDO,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2483,VÍDEO-LARINGO-ESTROBOSCOPIA COM ENDOSCÓPIO FLEXÍVEL OU RÍGIDO,AMB,HCO,HSO,REF,,ENDOSCÓPICOS,,,,,,
2484,,,,,,INTERVENCIONISTA,,,,,,,
2485,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2486,"3-METIL HISTIDINA, DOSAGEM NO SORO",AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2487,5-NUCLEOTIDASE,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2488,,,,,,MATERIAIS),,,,,,,
2489,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2490,"ACETILCOLINESTERASE, EM ERITRÓCITOS",AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2491,,RN,,,,,,,,,,,
2492,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2493,,(alteração),,,,,,,,,,,
2494,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2495,ÁCIDO LÁCTICO (LACTATO),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2496,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2497,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2498,ÁCIDO ORÓTICO (OROTATO),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2499,ÁCIDO OXÁLICO (OXALATO),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2500,,,,,,MATERIAIS),,,,,,,
2501,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2502,ÁCIDO PIRÚVICO (PIRUVATO),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2503,,RN,,,,,,,,,,,
2504,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2505,,(alteração),,,,,,,,,,,
2506,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2507,AMILOIDOSE - TTR,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2508,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2509,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2510,"AMINOÁCIDOS, FRACIONAMENTO E QUANTIFICAÇÃO",AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2511,AMÔNIA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2512,,,,,,MATERIAIS),,,,,,,
2513,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2514,AMP - CÍCLICO NEFROGÊNICO (SANGUE E URINA),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2515,,RN,,,,,,,,,,,
2516,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2517,,(alteração),,,,,,,,,,,
2518,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2519,CLEARANCE DE CREATININA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2520,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2521,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2522,CLEARANCE DE FOSFATO,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2523,CLEARANCE DE URÉIA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2524,,,,,,MATERIAIS),,,,,,,
2525,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2526,CLORO,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2527,,RN,,,,,,,,,,,
2528,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2529,,(alteração),,,,,,,,,,,
2530,,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2531,DESIDROGENASE LÁCTICA - ISOENZIMAS FRACIONADAS,AMB,HCO,HSO,REF,,,PROCEDIMENTOS LABORATORIAIS,,,,,
2532,,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,
2533,,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
2534,RAZÃO DO TESTE sFlt/PLGF  (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,HSO,REF,139,,PROCEDIMENTOS LABORATORIAIS,,,,,
2535,DOSAGEM DE ANTIMICROBIANOS,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2536,,,,,,MATERIAIS),,,,,,,
2537,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2538,DOSAGEM DE ANTICONVULSIVANTES,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2539,,RN,,,,,,,,,,,
2540,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2541,,(alteração),,,,,,,,,,,
2542,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2543,FERRITINA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2544,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2545,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2546,FERRO SÉRICO,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2547,FOSFATASE ÁCIDA FRAÇÃO PROSTÁTICA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2548,,,,,,MATERIAIS),,,,,,,
2549,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2550,FOSFATASE ÁCIDA TOTAL,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2551,,RN,,,,,,,,,,,
2552,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2553,,(alteração),,,,,,,,,,,
2554,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2555,GLOBULINA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2556,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2557,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2558,HAPTOGLOBINA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2559,HEMOGLOBINA GLICOSILADA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2560,,,,,,MATERIAIS),,,,,,,
2561,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2562,HEMOGLOBINA PLASMÁTICA LIVRE,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2563,,RN,,,,,,,,,,,
2564,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2565,,(alteração),,,,,,,,,,,
2566,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2567,OSMOLALIDADE,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2568,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2569,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2570,PAPP-A,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2571,PARACETAMOL (ACETAMINOFENO),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2572,,,,,,MATERIAIS),,,,,,,
2573,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2574,PEPTÍDEO NATRIURÉTICO,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2575,,RN,,,,,,,,,,,
2576,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2577,,(alteração),,,,,,,,,,,
2578,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2579,TIROSINA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2580,,,,,,MATERIAIS),,TERAPÊUTICOS,,,,,
2581,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
2582,TRANSAMINASE OXALACÉTICA (ASPARTATO AMINOTRANSFERASE),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2583,TRANSAMINASE PIRÚVICA (ALANINA AMINOTRANSFERASE),AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2584,,,,,,MATERIAIS),,,,,,,
2585,,,,,,"BIOQUÍMICA (SANGUE, URINA E OUTROS",,,,,,,
2586,TRANSFERRINA,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2587,TRIGLICERÍDEOS,AMB,HCO,HSO,REF,,PROCEDIMENTOS LABORATORIAIS,,,,,,
2588,,,,,,MATERIAIS),,,,,,,
